domain,req,sendBytes,receiveBytes;
http://www.cs.put.poznan.pl/tpawlak/files/TPSI/post.php,2,5,300;
http://wp.pl/,2,0,22;
http://onet.pl/,1,0,11;
http://onet.pl/favicon.ico,2,0,22;
http://wiadomosci.wp.pl/,1,0,24100;
http://a.wpimg.pl/a/i/stg/550/3323,984.css,1,0,6815;
http://a.wpimg.pl/a/i/stg/wpjslib_103.js,1,0,122508;
http://a.wpimg.pl/a/i/stg/697,xgemius.js,1,0,5169;
http://a.wpimg.pl/a/i/wpsocialadmin/1.3/wpsocial.js?id=18022014,1,0,9620;
http://a.wpimg.pl/a/i/wiadomosci/rebrand/wp_w_wiadomosci.png,1,0,1142;
http://a.wpimg.pl/a/i/wiadomosci/2011/galeria_wideo.png,1,0,665;
http://i.wp.pl/a/f/jpeg/36520/afp_justin_welby203.jpeg,1,0,49405;
http://a.wpimg.pl/a/i/wiadomosci/rebrand/wp_w.png,1,0,1538;
http://i.wpimg.pl/r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2NTQyL3Byb3RlemEyMDMuanBlZztxXjAuOTtjXnRydWU7c2NedHJ1ZTt0XmpwZztzXndpYWRvbW9zY2k7ZnReMQ==.jpg,1,0,10819;
http://i.wp.pl/a/f/jpeg/35281/dziejesienazywo_140.jpeg,1,0,3479;
http://i.wpimg.pl/r,id,d142NTA7aF4xMDA7dV5odHRwOi8vaS53cC5wbC9hL2YvanBlZy8yNjA5MS9rYXRhc3Ryb2ZhX3Ntb2xlbnNrYV9hcF82NTAuanBlZztxXjAuODtjXnRydWU7c2NedHJ1ZTt0XmpwZztzXndpYWRvbW9zY2k7ZnReMQ==.jpg,1,0,47361;
http://i.wpimg.pl/r,id,d14xNDA7aF45MDt1Xmh0dHA6Ly9pLndwLnBsL2EvZi9qcGVnLzM2NTM3L3Jvc2phMjAzLmpwZWc7cV4wLjk7Y150cnVlO3NjXnRydWU7dF5qcGc7c153aWFkb21vc2NpO2Z0XjE=.jpg,1,0,3149;
http://i.wp.pl/a/f/jpeg/36358/wp_andrzej_duda_140.jpeg,1,0,4867;
http://i.wp.pl/a/f/jpeg/33078/tvn_140.jpeg,1,0,6502;
http://i.wp.pl/a/f/jpeg/32208/zespol_macieja_lasaka_brzoza_smolensk_katastrofa_140.jpeg,1,0,6322;
http://i.wp.pl/a/f/jpeg/33057/blisko_slawomir_mrowinski_wspsz_pz_140.jpeg,1,0,15189;
http://i.wp.pl/a/f/jpeg/36539/protasiewicz_wp_388.jpeg,1,0,37285;
http://i.wp.pl/a/f/jpeg/32086/rosja_flaga_pap_epa_arch_140.jpeg,1,0,7334;
http://i.wp.pl/a/f/jpeg/36359/wp_andrzej_duda_625.jpeg,1,0,40619;
